"challenge","username","money","leaderboard_categories","leaderboard_date","community"
"1324","abhar","250.0","Salesforce.com,Other,","2011-12-15",""
"1279","abhar","250.0","Salesforce.com,","2011-12-05",""
"1329","abhar","1500.0","salesforce.com, other, mobile","2011-12-29",""
"1195","abhartiya","250.0","Cloud Foundry,Ruby,Heroku,","2011-10-20","cloudfoundry"
"1130","acerbetti","750.0","Salesforce.com,Mobile,","2011-06-29",""
"1129","acerbetti","1250.0","Salesforce.com,Mobile,","2011-07-01",""
"1089","acorv","500.0","Twilio,Other,","2011-05-12",""
"1082","acorv","600.0","Salesforce.com,Heroku,AWS,Google,","2011-05-12",""
"1423","adrienjarthon","250.0","google","2012-05-11",""
"1368","agentgill","200.0","salesforce.com","2012-02-21",""
"1168","agentgill","250.0","Salesforce.com,","2011-08-24",""
"1378","ahmedbhaila","500.0","box, twilio, mobile","2012-03-09",""
"1384","ahmedbhaila","250.0","salesforce.com, cloud foundry, heroku","2012-03-09","cloudfoundry"
"1408","ahmedbhaila","1750.0","box, ios, android, mobile","2012-04-05",""
"1511","ahmedbhaila","1000.0","google","2012-06-06",""
"1452","ahmedbhaila","250.0","google, other","2012-05-21",""
"1501","ahmedbhaila","250.0","cloud foundry, java, heroku, google","2012-05-25","cloudfoundry"
"1456","ahmedbhaila","150.0","java, salesforce.com, heroku","2012-05-02",""
"1067","Aiias","500.0","Google,Salesforce.com,AWS,Heroku,Node.JS,","2011-03-15",""
"1508","ajayhada","100.0","","",""
"1223","ajzam","25.0","Salesforce.com,Other,","2011-11-16",""
"1185","akkishore","250.0","Heroku,AWS,Google,Cloud Foundry,","2011-09-23","cloudfoundry"
"1521","akkishore","1250.0","google","2012-06-04",""
"1201","akkishore","200.0","Mobile,","2011-10-17",""
"1204","akkishore","750.0","Other,","2011-10-12",""
"1211","akkishore","500.0","Java,Cloud Foundry,Ruby,","2011-10-20","cloudfoundry"
"1195","akkishore","250.0","Cloud Foundry,Ruby,Heroku,","2011-10-20","cloudfoundry"
"1203","akkishore","300.0","Google,","2011-10-20",""
"1220","akkishore","1750.0","Heroku,Ruby,Cloud Foundry,","2011-11-02","cloudfoundry"
"1218","akkishore","1000.0","Google,AWS,","2011-11-21",""
"1225","akkishore","500.0","Google,","2011-11-21",""
"1215","akkishore","750.0","Mobile,Other,","2011-11-28",""
"1277","akkishore","2500.0","Google,Other,","2011-12-01",""
"1127","akkishore","1000.0","Google,","2011-06-30",""
"1164","akkishore","750.0","Salesforce.com,Heroku,","2011-08-18",""
"1333","akkishore","2000.0","mobile","2012-01-10",""
"1379","akkishore","1000.0","mobile, box","2012-03-09",""
"1341","akkishore","2000.0","other","2012-01-20",""
"1354","akkishore","500.0","node.js","2012-01-31",""
"1365","akkishore","1000.0","box","2012-02-15",""
"1405","akkishore","200.0","box","2012-04-05",""
"1408","akkishore","500.0","box, ios, android, mobile","2012-04-05",""
"1452","akkishore","200.0","google, other","2012-05-21",""
"1493","akkishore","100.0","javascript","2012-05-22",""
"1198","akkishore","250.0","Heroku,Ruby,Cloud Foundry,","2011-09-30","cloudfoundry"
"1496","alfongj","1250.0","javascript","2012-06-01",""
"1418","almopeluche","25.0","","",""
"1477","almopeluche","250.0","salesforce.com, javascript","2012-05-07",""
"1368","almopeluche","200.0","salesforce.com","2012-02-21",""
"1419","almopeluche","750.0","javascript, salesforce.com","2012-04-05",""
"1426","ammonia","350.0","salesforce.com","2012-04-11",""
"1464","ammonia","500.0","salesforce.com","2012-05-09",""
"1509","ammonia","150.0","salesforce.com","2012-06-08",""
"1526","ammonia","250.0","salesforce.com","2012-06-05",""
"1517","ammonia","1000.0","salesforce.com","2012-06-05",""
"1329","andyj24","500.0","salesforce.com, other, mobile","2011-12-29",""
"1276","andymahood","1200.0","Salesforce.com,","2011-12-08",""
"1419","antenna","200.0","javascript, salesforce.com","2012-04-05",""
"1422","antenna","1000.0","salesforce.com","2012-04-04",""
"1438","antenna","150.0","salesforce.com","2012-04-06",""
"1500","antenna","250.0","javascript","2012-05-29",""
"1429","antenna","300.0","salesforce.com","2012-04-16",""
"1475","antenna","250.0","salesforce.com","2012-04-30",""
"1434","antenna","250.0","salesforce.com","2012-04-26",""
"1477","antenna","500.0","salesforce.com, javascript","2012-05-07",""
"1482","antenna","250.0","salesforce.com","2012-05-14",""
"1478","antenna","500.0","salesforce.com","2012-05-18",""
"1495","antenna","200.0","javascript","2012-05-30",""
"1412","antenna","1000.0","salesforce.com","2012-04-03",""
"1401","antenna","1000.0","salesforce.com","2012-03-12",""
"1439","antenna","750.0","java, google","2012-04-16",""
"1425","ARechitsky","100.0","","",""
"1105","Arvind","500.0","Salesforce.com,","2011-05-20",""
"1161","Arvind","500.0","Salesforce.com,Other,","2011-08-17",""
"1223","ashu15oc","25.0","Salesforce.com,Other,","2011-11-16",""
"1217","aslambari","1500.0","Salesforce.com,","2011-10-28",""
